CPT,NTEP,Price,Date
250.67403952684873,231254,58085.8,2021-03-21
196.83493150525894,292810,57411.17,2021-03-22
190.3569446267247,310712,54204.96,2021-03-23
186.51729383851318,300724,54477.46,2021-03-24
171.37287621822801,314233,52508.23,2021-03-25
168.77504531729167,289918,51415.92,2021-03-26
203.6272281307244,284638,55074.47,2021-03-27
236.40721769378084,244003,55863.93,2021-03-28
193.5637827680648,299609,55783.71,2021-03-29
183.68305453258617,316536,57627.67,2021-03-30
191.43177293379097,328384,58730.13,2021-03-31
188.25056391838956,308161,58735.25,2021-04-01
187.19999758978332,301445,58736.92,2021-04-02
188.14831513145884,277132,59031.32,2021-04-03
229.6745985999321,242207,57076.49,2021-04-04
215.23608844679887,284512,58206.55,2021-04-05
190.15636029238996,305746,59054.1,2021-04-06
192.02079365238527,316227,58020.46,2021-04-07
190.3721144943836,274868,55947.27,2021-04-08
191.39385072190262,319653,58048.59,2021-04-09
214.2953612756865,293751,58102.58,2021-04-10
229.70661798889924,249489,59774,2021-04-11
204.7651025959055,286658,59964.87,2021-04-12
198.06313416127566,305895,59834.74,2021-04-13
208.9713734525182,293300,63554.44,2021-04-14
215.90390557821905,354682,62969.12,2021-04-15
220.09980939815966,216336,63252.63,2021-04-16
231.41169486401347,191272,61455.98,2021-04-17
205.5984325019473,267783,60087.09,2021-04-18
223.88318308539746,203637,56251.48,2021-04-19
219.57580391049467,275973,55703.14,2021-04-20
217.7919034658502,222490,56507.91,2021-04-21
234.1282287862732,269592,53808.8,2021-04-22
187.89841067717822,290057,51731.71,2021-04-23
185.3442944895792,285889,51153.13,2021-04-24
205.16556465284984,236534,50110.53,2021-04-25
193.68777357531843,236860,49075.58,2021-04-26
191.81604466322935,293396,54056.64,2021-04-27
202.1800233725265,271992,55071.46,2021-04-28
188.26507467980431,255439,54884.1,2021-04-29
202.69750646995644,286158,53584.15,2021-04-30
213.2471632377353,259751,57796.62,2021-05-01
300.31054913667,231999,57857.5,2021-05-02
247.432176147388,283209,56610.46,2021-05-03
226.15940318632673,296672,57213.33,2021-05-04
196.17277498078408,305591,53241.72,2021-05-05
214.07709639356915,306884,57473.23,2021-05-06
218.461023038865,303225,56428.16,2021-05-07
246.38187971563042,271447,57380.27,2021-05-08
288.3227389599041,245062,58928.81,2021-05-09
234.33157102220036,299822,58280.73,2021-05-10
206.99837688061828,308615,55883.5,2021-05-11
214.96262126673844,297062,56750,2021-05-12
194.05307774844863,273021,49007.09,2021-05-13
171.59208744217423,262913,49702.27,2021-05-14
174.28676174077088,229452,49922.52,2021-05-15
190.07488721766597,216916,46736.58,2021-05-16
146.96660701407185,242095,46441.64,2021-05-17
138.5799674267093,217971,43596.24,2021-05-18
136.74440494294944,259812,42912.19,2021-05-19
145.30644511494722,224276,36964.27,2021-05-20
141.30407816392056,223241,40784.32,2021-05-21
138.85676890882473,220859,37280.35,2021-05-22
148.95100341814728,191590,37528.3,2021-05-23
139.1612414497509,231931,34754.54,2021-05-24
139.4340447316791,231017,38728.59,2021-05-25
142.9087211916139,228110,38410.5,2021-05-26
144.24022881761775,211686,39266.04,2021-05-27
136.9262036091956,215764,38445.29,2021-05-28
137.3314298215469,196259,35689.62,2021-05-29
184.85010757332864,176688,34647.67,2021-05-30
149.47474428915675,221775,35684.59,2021-05-31
145.96759826040739,232277,37310.54,2021-06-01
163.4974329251797,247186,36662.64,2021-06-02
145.6732634857681,253294,37585.24,2021-06-03
135.98059482395288,233496,39188.59,2021-06-04
159.33882486642136,192515,36885.51,2021-06-05
186.4579870742936,183530,35530.38,2021-06-06
132.76420671656655,233258,35816.17,2021-06-07
128.31146143357847,244362,33514.87,2021-06-08
134.17002942786377,208976,33450.19,2021-06-09
114.59650888488697,249508,37338.36,2021-06-10
118.95407205091881,214427,36704.57,2021-06-11
139.8883153155348,219663,37313.18,2021-06-12
166.95541533169563,185175,35494.9,2021-06-13
148.21313572458956,240108,39066.82,2021-06-14
142.4994147099516,239231,40525.8,2021-06-15
125.64449566515546,250605,40188.56,2021-06-16
137.07365714099814,235240,38324.87,2021-06-17
133.9426798873058,220657,38068.04,2021-06-18
127.548037349142,185155,35729.82,2021-06-19
141.9622963320516,164157,35524.17,2021-06-20
112.78566339900041,201981,35592.35,2021-06-21
100.77215455844872,194124,31686.55,2021-06-22
99.10229461677713,230121,32447.59,2021-06-23
101.87901296344302,230015,33674.66,2021-06-24
111.64011163933966,216038,34639.38,2021-06-25
101.63357238620411,176962,31640.58,2021-06-26
104.81795516875805,123013,32160.91,2021-06-27
94.45366896269717,215729,34644.45,2021-06-28
106.31660591015768,203514,34456.67,2021-06-29
98.73662078189878,216631,35847.7,2021-06-30
97.64126243544322,228170,35047.36,2021-07-01
110.24007546820886,186555,33536.88,2021-07-02
123.33001417611374,235573,33856.86,2021-07-03
156.24653299287252,170036,34688.98,2021-07-04
133.0955238815502,213263,35309.3,2021-07-05
139.83943688701993,225563,33747.97,2021-07-06
125.9858627406933,219134,34211.01,2021-07-07
129.19505653023901,228702,33839.04,2021-07-08
123.25731101897253,225529,32877.41,2021-07-09
184.56843233298915,185409,33818.52,2021-07-10
164.15580777868894,164576,33515.57,2021-07-11
125.85939058298972,218257,34227.64,2021-07-12
125.8115144231302,227833,33158.25,2021-07-13
150.08425443946106,234260,32686.56,2021-07-14
116.5207942752469,224238,32814.61,2021-07-15
135.64780012798522,221571,31738.59,2021-07-16
157.01118415854285,180307,31421.25,2021-07-17
179.8968748424801,159446,31520.66,2021-07-18
148.4361020803855,224790,31783.49,2021-07-19
100.80097380207876,228350,30815.94,2021-07-20
121.35001073838485,233534,29790.24,2021-07-21
138.77037393264976,228177,32118.06,2021-07-22
121.02479057658715,229184,32297.89,2021-07-23
166.70120023974957,196192,33581.63,2021-07-24
190.20192680004655,172776,34279.34,2021-07-25
139.31340288205305,259735,35365.2,2021-07-26
159.17908219122515,252933,37318.14,2021-07-27
158.12201244735664,249149,39405.95,2021-07-28
152.68937081802778,260636,40002.53,2021-07-29
164.50432760048506,253470,40005.93,2021-07-30
200.7347026347319,205530,42214.15,2021-07-31
218.15077502687726,184177,41659.06,2021-08-01
150.19366311023109,237419,40000.46,2021-08-02
168.78645243750964,244307,39193.94,2021-08-03
139.90402665850164,237740,38138,2021-08-04
162.22277717323905,244107,39750.14,2021-08-05
159.40004931369597,258818,40882,2021-08-06
216.04148721622613,210241,42825.95,2021-08-07
230.55350775809393,189787,44634.13,2021-08-08
171.0933595199304,250704,43816.14,2021-08-09
182.74230198503074,258838,46333.46,2021-08-10
163.61721335840093,260395,45608.37,2021-08-11
171.0599526756297,248876,45611.46,2021-08-12
161.2224449081617,258717,44417.78,2021-08-13
233.24721168104367,207121,47833.98,2021-08-14
285.7161682778339,184510,47112.19,2021-08-15
181.99910543935468,261282,47056.41,2021-08-16
196.94958499921748,255695,45982.55,2021-08-17
156.60640457540583,245237,44648.57,2021-08-18
173.86034551869278,251333,44777.86,2021-08-19
178.23013859652443,269756,46734.65,2021-08-20
240.22005909340479,217132,49327.75,2021-08-21
266.0802462863709,188986,48932.02,2021-08-22
229.74287934638383,268563,49335.68,2021-08-23
181.79125694498916,261947,49523.5,2021-08-24
185.69829261921024,260944,47744.58,2021-08-25
169.21727608756692,256501,48972.09,2021-08-26
171.50709542257277,254858,46962.8,2021-08-27
200.0010122845691,216492,49056.86,2021-08-28
250.27604993110694,190073,48897.65,2021-08-29
164.20327347937558,249119,48806.78,2021-08-30
159.2759733246717,268982,47074.77,2021-08-31
148.34692405090456,278429,47155.87,2021-09-01
163.1844680844096,287463,48862.76,2021-09-02
165.9092325443863,281551,49329.01,2021-09-03
215.82184017704142,225817,50035.33,2021-09-04
254.23456114958213,203199,49947.38,2021-09-05
210.65187845746402,266706,51769.06,2021-09-06
176.64023688299673,274230,52677.4,2021-09-07
154.42905271184196,268147,46809.17,2021-09-08
147.12525557551336,272268,46078.38,2021-09-09
152.12549988010824,259309,46368.69,2021-09-10
194.35281660124738,216557,44847.48,2021-09-11
216.13565288688062,191036,45144.79,2021-09-12
177.14866598549918,253978,46059.12,2021-09-13
183.5759514030138,266169,44968.76,2021-09-14
159.97677471316555,266921,47072.12,2021-09-15
152.81837329363861,269128,48167.85,2021-09-16
164.58587476603518,268859,47785.26,2021-09-17
209.93660151966262,225807,47263.6,2021-09-18
240.04065491281634,198822,48259.45,2021-09-19
172.04838197059505,268004,47249.38,2021-09-20
136.27593976526214,242520,42901.56,2021-09-21
131.11601119360716,273042,40619.27,2021-09-22
171.2841540803295,266610,43604.76,2021-09-23
146.17401879346878,275358,44888.96,2021-09-24
181.95554164328652,210776,42815.56,2021-09-25
194.72863656519914,193656,42742.01,2021-09-26
167.79119328350458,253851,43182.63,2021-09-27
154.02308681966616,260413,42238.2,2021-09-28
142.5834028290268,240043,41011.16,2021-09-29
159.65014313008112,290790,41522.38,2021-09-30
147.57681412039076,275053,43757.81,2021-10-01
218.25992467274847,257855,48140.11,2021-10-02
208.3155468025031,216304,47727.1,2021-10-03
177.127671301037,267265,48205.72,2021-10-04
166.62598896239368,310372,49143.95,2021-10-05
164.11973414401123,265891,51505.83,2021-10-06
151.6084020194949,323317,55343.76,2021-10-07
